City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Dunedin,NZ,2021-02-02 21:43:52,-45.8742,170.5036,69.01,66,75,4.0
207,Kauhajoki,FI,2021-02-02 21:47:44,62.4333,22.1833,-5.8,84,0,1.14
208,Ararangua,BR,2021-02-02 21:47:44,-28.9347,-49.4858,78.21,86,3,5.53
209,Salta,AR,2021-02-02 21:47:40,-24.7859,-65.4117,68.0,77,90,12.66
210,Puerto El Triunfo,SV,2021-02-02 21:47:44,13.2833,-88.55,91.4,27,0,16.11
211,Loukhi,RU,2021-02-02 21:47:44,66.0764,33.0381,4.5,94,3,3.8
212,Letlhakeng,BW,2021-02-02 21:47:44,-24.0944,25.0298,67.03,81,100,16.93
213,Pangoa,PE,2021-02-02 21:43:38,-12.1167,-73.0,84.06,60,54,2.84
214,Ribeira Grande,PT,2021-02-02 21:42:05,38.5167,-28.7,57.2,62,40,28.77
215,Iquitos,PE,2021-02-02 21:47:45,-3.7481,-73.2472,86.0,66,40,3.44
216,Mahebourg,MU,2021-02-02 21:38:33,-20.4081,57.7,80.6,74,75,11.5
217,Lander,US,2021-02-02 21:45:06,42.833,-108.7307,44.01,36,1,4.61
218,Coihaique,CL,2021-02-02 21:43:25,-45.5752,-72.0662,78.8,38,0,6.91
219,Borogontsy,RU,2021-02-02 21:47:45,62.6683,131.1683,-43.15,80,100,1.01
220,Aqtobe,KZ,2021-02-02 21:40:23,50.2797,57.2072,33.8,86,0,8.95
221,Arman,RU,2021-02-02 21:44:29,59.7,150.1667,-21.57,77,33,12.95
222,Roma,US,2021-02-02 21:47:46,43.2128,-75.4557,28.0,74,90,9.22
223,Ulladulla,AU,2021-02-02 21:44:27,-35.35,150.4667,64.4,55,20,10.36
224,Wajir,KE,2021-02-02 21:47:46,1.7471,40.0573,78.64,52,46,15.52
225,Kruisfontein,ZA,2021-02-02 21:38:10,-34.0033,24.7314,66.99,86,0,6.82
226,Saint-Philippe,RE,2021-02-02 21:37:36,-21.3585,55.7679,80.6,74,90,3.44
227,Lima,PE,2021-02-02 21:47:47,-12.0432,-77.0282,77.0,57,0,9.22
228,Marsh Harbour,BS,2021-02-02 21:47:47,26.5412,-77.0636,58.1,70,18,27.78
229,Awjilah,LY,2021-02-02 21:47:47,29.1081,21.2869,55.18,50,31,2.19
230,Mehamn,NO,2021-02-02 21:43:32,71.0357,27.8492,24.8,68,90,24.16
231,Wewak,PG,2021-02-02 21:47:48,-3.5534,143.6268,77.32,90,100,11.21
232,Evensk,RU,2021-02-02 21:47:48,61.95,159.2333,9.75,94,100,9.69
233,Dzerzhinskoye,RU,2021-02-02 21:47:48,56.8344,95.2283,4.93,90,100,2.95
234,Saint George,US,2021-02-02 21:42:42,37.1041,-113.5841,64.4,39,90,8.05
235,Viesca,MX,2021-02-02 21:47:48,25.35,-102.8,77.0,23,75,3.44
236,Kurilsk,RU,2021-02-02 21:47:48,45.2333,147.8833,13.96,87,100,29.62
237,Acajutla,SV,2021-02-02 21:43:54,13.5928,-89.8275,86.95,40,4,7.27
238,Port Lincoln,AU,2021-02-02 21:44:15,-34.7333,135.8667,62.98,78,74,12.75
239,Milton,US,2021-02-02 21:47:49,34.1322,-84.3007,43.0,40,0,4.0
240,Boundiali,CI,2021-02-02 21:47:49,9.5217,-6.4869,73.02,20,0,1.86
241,Ler,SS,2021-02-02 21:47:49,8.3018,30.1418,80.37,22,38,5.06
242,Pochutla,MX,2021-02-02 21:47:49,15.7432,-96.4661,87.01,58,20,16.11
243,San Rafael,AR,2021-02-02 21:47:49,-34.6177,-68.3301,72.48,31,19,4.85
244,Aktas,KZ,2021-02-02 21:47:49,49.7789,72.9608,21.2,68,40,13.42
245,Yemtsa,RU,2021-02-02 21:47:50,63.0734,40.3329,2.19,94,57,6.02
246,San-Pedro,CI,2021-02-02 21:47:50,4.7485,-6.6363,78.31,89,81,5.39
247,Aljezur,PT,2021-02-02 21:47:50,37.3191,-8.8033,55.99,5,96,3.0
248,Constitucion,CL,2021-02-02 21:39:58,-35.3333,-72.4167,64.99,68,13,5.91
249,Lodja,CD,2021-02-02 21:47:50,-3.4833,23.4333,70.3,85,58,1.61
250,Chapais,CA,2021-02-02 21:43:12,49.7834,-74.8492,26.6,63,1,9.22
251,Meadow Lake,US,2021-02-02 21:47:51,34.8014,-106.5436,60.8,27,75,4.61
252,Altoona,US,2021-02-02 21:47:51,40.5187,-78.3947,27.0,89,100,16.04
253,Cabedelo,BR,2021-02-02 21:43:48,-6.9811,-34.8339,80.6,78,20,11.5
254,Namibe,AO,2021-02-02 21:43:20,-15.1961,12.1522,73.45,74,81,5.59
255,Davila,PH,2021-02-02 21:47:51,18.4726,120.5763,71.6,78,40,4.61
256,Songwa,TZ,2021-02-02 21:47:52,-3.5167,33.5167,69.12,66,42,3.71
257,Muros,ES,2021-02-02 21:43:44,42.7762,-9.0603,59.0,81,100,13.0
258,Tazovskiy,RU,2021-02-02 21:44:04,67.4667,78.7,-3.33,92,94,12.24
259,Tingo Maria,PE,2021-02-02 21:43:18,-9.2895,-76.0088,82.09,67,96,2.51
260,Gondanglegi,ID,2021-02-02 21:47:52,-7.7479,112.0132,74.05,90,88,1.28
261,Tiksi,RU,2021-02-02 21:43:20,71.6872,128.8694,-1.03,93,100,14.79
