City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Yerbogachen,RU,61.2767,108.0108,-11.97,90,89,3.2,overcast clouds
177,Selenginsk,RU,52.0064,106.8647,-9.4,84,47,2.24,scattered clouds
178,Altamira,BR,-3.2033,-52.2064,89.6,62,40,8.05,scattered clouds
179,Hasaki,JP,35.7333,140.8333,41.0,81,20,8.05,few clouds
180,Lompoc,US,34.6391,-120.4579,55.0,76,1,5.75,clear sky
181,Ruteng,ID,-8.6136,120.4721,63.21,99,95,1.41,overcast clouds
182,Upata,VE,8.0086,-62.3989,87.44,41,100,6.64,overcast clouds
183,Laguna,US,38.421,-121.4238,46.99,87,1,2.3,clear sky
184,Cap-Aux-Meules,CA,47.3821,-61.8597,37.4,100,100,20.71,overcast clouds
185,Longyearbyen,SJ,78.2186,15.6401,23.0,74,75,5.75,broken clouds
186,Itarema,BR,-2.9248,-39.9167,87.78,55,61,15.7,broken clouds
187,Gat,IL,31.61,34.7642,63.0,100,17,3.36,few clouds
188,Vale Da Amoreira,PT,39.0697,-7.6985,48.99,90,95,1.99,overcast clouds
189,San Javier,ES,37.8063,-0.8374,63.0,63,0,16.11,clear sky
190,Paita,PE,-5.0892,-81.1144,78.98,60,53,9.1,broken clouds
191,Takoradi,GH,4.8845,-1.7554,83.07,78,38,10.78,scattered clouds
192,Saint-Georges,GD,12.0564,-61.7485,86.0,51,20,24.16,few clouds
193,Owo,NG,7.1962,5.5868,95.94,16,14,4.74,few clouds
194,Fortuna,US,40.5982,-124.1573,46.0,100,90,3.11,overcast clouds
195,Kuandian,CN,40.7286,124.7847,19.6,95,75,5.48,broken clouds
196,Carballo,ES,43.213,-8.691,46.99,78,14,1.99,few clouds
197,Butaritari,KI,3.0707,172.7902,80.87,81,93,21.94,light rain
198,Vilyuysk,RU,63.7553,121.6247,-35.64,82,6,4.5,clear sky
199,Shaunavon,CA,49.6501,-108.4181,-16.6,76,94,3.44,overcast clouds
200,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,88,40,17.27,scattered clouds
201,Cooma,AU,-36.2333,149.1333,57.2,67,0,8.05,clear sky
202,Oktyabrskoye,RU,43.0645,44.7417,37.4,60,97,13.42,overcast clouds
203,Tiksi,RU,71.6872,128.8694,-25.64,85,100,6.67,overcast clouds
204,Volksrust,ZA,-27.3654,29.8818,63.45,83,100,3.18,light rain
205,La Ronge,CA,55.1001,-105.2842,-29.2,68,2,5.75,clear sky
206,Atar,MR,20.5169,-13.0499,74.91,20,26,18.01,scattered clouds
207,Weinan,CN,34.5036,109.5089,46.0,39,100,2.24,overcast clouds
208,Geraldton,AU,-28.7667,114.6,69.8,94,90,21.85,overcast clouds
